"metro_area_name","year","week","iclaimnsa"
"Abilene",2021,5,170
"Abilene",2021,6,168
"Abilene",2021,7,171
"Abilene",2021,8,165
"Abilene",2021,9,263
"Abilene",2021,10,371
"Abilene",2021,11,356
"Abilene",2021,12,390
"Abilene",2021,13,324
"Abilene",2021,14,194
"Abilene",2021,15,130
"Abilene",2021,16,135
"Abilene",2021,17,129
"Abilene",2021,18,110
"Abilene",2021,19,139
"Abilene",2021,20,138
"Abilene",2021,21,93
"Abilene",2021,22,74
"Abilene",2021,23,87
"Abilene",2021,24,87
"Abilene",2021,25,65
"Abilene",2021,26,91
"Abilene",2021,27,105
"Abilene",2021,28,136
"Abilene",2021,29,94
"Abilene",2021,30,127
"Abilene",2021,31,90
"Abilene",2021,32,101
"Abilene",2021,33,86
"Abilene",2021,34,96
"Abilene",2021,35,101
"Abilene",2021,36,72
"Abilene",2021,37,105
"Abilene",2021,38,94
"Abilene",2021,39,68
"Abilene",2021,40,62
"Abilene",2021,41,73
"Abilene",2021,42,77
"Abilene",2021,43,68
"Abilene",2021,44,53
"Abilene",2021,45,49
"Abilene",2021,46,60
"Abilene",2021,47,51
"Abilene",2021,48,73
"Abilene",2021,49,69
"Abilene",2021,50,94
"Abilene",2021,51,58
"Abilene",2021,53,153
"Abilene",2022,1,108
"Abilene",2022,2,78
"Abilene",2022,3,66
"Abilene",2022,4,53
"Abilene",2022,5,37
"Abilene",2022,6,52
"Abilene",2022,7,68
"Abilene",2022,8,58
"Abilene",2022,9,52
"Abilene",2022,10,70
"Abilene",2022,11,47
"Abilene",2022,12,60
"Abilene",2022,13,56
"Abilene",2022,14,58
"Abilene",2022,15,53
"Abilene",2022,16,56
"Abilene",2022,17,57
"Abilene",2022,18,49
"Abilene",2022,19,81
"Abilene",2022,20,65
"Abilene",2022,21,69
"Abilene",2022,22,45
"Abilene",2022,23,54
"Abilene",2022,24,51
"Abilene",2022,25,68
"Abilene",2022,26,62
"Abilene",2022,27,66
"Abilene",2022,28,64
"Abilene",2022,29,49
"Abilene",2022,30,59
"Abilene",2022,31,65
"Abilene",2022,32,57
"Abilene",2022,33,55
"Abilene",2022,34,57
"Abilene",2022,35,62
"Abilene",2022,36,47
"Abilene",2022,37,42
"Abilene",2022,38,39
"Abilene",2022,39,62
"Abilene",2022,40,54
"Abilene",2022,41,54
"Abilene",2022,42,57
"Abilene",2022,52,368
"Amarillo",2019,1,87
"Amarillo",2019,2,125
"Amarillo",2019,3,111
"Amarillo",2019,4,68
"Amarillo",2019,5,84
"Amarillo",2019,6,95
"Amarillo",2019,7,85
"Amarillo",2019,8,72
"Amarillo",2019,9,88
"Amarillo",2019,10,168
"Amarillo",2019,11,66
"Amarillo",2019,12,106
"Amarillo",2019,13,65
"Amarillo",2019,14,89
"Amarillo",2019,15,77
"Amarillo",2019,16,85
"Amarillo",2019,17,88
"Amarillo",2019,18,78
"Amarillo",2019,19,95
"Amarillo",2019,20,87
"Amarillo",2019,21,225
"Amarillo",2019,22,96
"Amarillo",2019,23,74
"Amarillo",2019,24,93
"Amarillo",2019,25,87
"Amarillo",2019,26,98
"Amarillo",2019,27,104
"Amarillo",2019,28,135
"Amarillo",2019,29,87
"Amarillo",2019,30,101
"Amarillo",2019,31,98
"Amarillo",2019,32,101
"Amarillo",2019,33,77
"Amarillo",2019,34,84
"Amarillo",2019,35,79
"Amarillo",2019,36,58
"Amarillo",2019,37,81
"Amarillo",2019,38,67
"Amarillo",2019,39,79
"Amarillo",2019,40,88
"Amarillo",2019,41,96
"Amarillo",2019,42,89
"Amarillo",2019,43,89
"Amarillo",2019,44,112
"Amarillo",2019,45,94
"Amarillo",2019,46,88
"Amarillo",2019,47,98
"Amarillo",2019,48,72
"Amarillo",2019,49,87
"Amarillo",2019,50,116
"Amarillo",2019,51,223
"Amarillo",2019,52,57
"Amarillo",2020,1,84
"Amarillo",2020,2,113
"Amarillo",2020,3,92
"Amarillo",2020,4,98
"Amarillo",2020,5,92
"Amarillo",2020,6,80
"Amarillo",2020,7,91
"Amarillo",2020,8,53
"Amarillo",2020,9,82
"Amarillo",2020,10,93
"Amarillo",2020,11,96
"Amarillo",2020,12,759
"Amarillo",2020,13,1613
"Amarillo",2020,14,2082
"Amarillo",2020,15,2702
"Amarillo",2020,16,1204
"Amarillo",2020,17,984
"Amarillo",2020,18,1100
"Amarillo",2020,19,939
"Amarillo",2020,20,837
"Amarillo",2020,21,893
"Amarillo",2020,22,737
"Amarillo",2020,23,672
"Amarillo",2020,24,568
"Amarillo",2020,25,556
"Amarillo",2020,26,505
"Amarillo",2020,27,633
"Amarillo",2020,28,569
"Amarillo",2020,29,519
"Amarillo",2020,30,492
"Amarillo",2020,31,383
"Amarillo",2020,32,375
"Amarillo",2020,33,426
"Amarillo",2020,34,360
"Amarillo",2020,35,429
"Amarillo",2020,36,459
"Amarillo",2020,37,348
"Amarillo",2020,38,324
"Amarillo",2020,39,444
"Amarillo",2020,40,350
"Amarillo",2020,41,317
"Amarillo",2020,42,349
"Amarillo",2020,43,331
"Amarillo",2020,44,261
"Amarillo",2020,45,314
"Amarillo",2020,46,284
"Amarillo",2020,47,339
"Amarillo",2020,48,250
"Amarillo",2020,49,315
"Amarillo",2020,50,238
"Amarillo",2020,51,379
"Amarillo",2020,52,221
"Amarillo",2021,1,321
"Amarillo",2021,2,326
"Amarillo",2021,3,323
"Amarillo",2021,4,290
"Amarillo",2021,5,376
"Amarillo",2021,6,258
"Amarillo",2021,7,264
"Amarillo",2021,8,344
"Amarillo",2021,9,287
"Amarillo",2021,10,631
"Amarillo",2021,11,612
"Amarillo",2021,12,767
"Amarillo",2021,13,921
"Amarillo",2021,14,392
"Amarillo",2021,15,304
"Amarillo",2021,16,309
"Amarillo",2021,17,226
"Amarillo",2021,18,195
"Amarillo",2021,19,203
"Amarillo",2021,20,207
"Amarillo",2021,21,231
"Amarillo",2021,22,138
"Amarillo",2021,23,141
"Amarillo",2021,24,152
"Amarillo",2021,25,133
"Amarillo",2021,26,175
"Amarillo",2021,27,193
"Amarillo",2021,28,224
"Amarillo",2021,29,178
"Amarillo",2021,30,197
"Amarillo",2021,31,204
"Amarillo",2021,32,163
"Amarillo",2021,33,133
"Amarillo",2021,34,166
"Amarillo",2021,35,176
"Amarillo",2021,36,135
"Amarillo",2021,37,125
"Amarillo",2021,38,136
"Amarillo",2021,39,117
"Amarillo",2021,40,145
"Amarillo",2021,41,122
"Amarillo",2021,42,114
"Amarillo",2021,43,118
"Amarillo",2021,44,114
"Amarillo",2021,45,121
"Amarillo",2021,46,94
"Amarillo",2021,47,87
"Amarillo",2021,48,118
"Amarillo",2021,49,93
"Amarillo",2021,50,217
"Amarillo",2021,51,104
"Amarillo",2021,53,269
"Amarillo",2022,1,144
"Amarillo",2022,2,134
"Amarillo",2022,3,119
"Amarillo",2022,4,97
"Amarillo",2022,5,119
"Amarillo",2022,6,103
"Amarillo",2022,7,80
"Amarillo",2022,8,86
"Amarillo",2022,9,97
"Amarillo",2022,10,96
"Amarillo",2022,11,164
"Amarillo",2022,12,90
"Amarillo",2022,13,81
"Amarillo",2022,14,107
"Amarillo",2022,15,79
"Amarillo",2022,16,85
"Amarillo",2022,17,86
"Amarillo",2022,18,104
"Amarillo",2022,19,87
"Amarillo",2022,20,95
"Amarillo",2022,21,180
"Amarillo",2022,22,68
"Amarillo",2022,23,64
"Amarillo",2022,24,93
"Amarillo",2022,25,101
"Amarillo",2022,26,98
"Amarillo",2022,27,73
"Amarillo",2022,28,94
"Amarillo",2022,29,111
"Amarillo",2022,30,87
"Amarillo",2022,31,87
"Amarillo",2022,32,94
"Amarillo",2022,33,85
"Amarillo",2022,34,71
"Amarillo",2022,35,83
"Amarillo",2022,36,69
"Amarillo",2022,37,63
"Amarillo",2022,38,76
"Amarillo",2022,39,66
"Amarillo",2022,40,108
"Amarillo",2022,41,87
"Amarillo",2022,42,81
"Amarillo",2022,52,92
"Atlanta",2020,2,1510
"Atlanta",2020,3,686
"Atlanta",2020,4,442
"Atlanta",2020,5,437
"Atlanta",2020,6,551
"Atlanta",2020,7,620
"Atlanta",2020,8,497
"Atlanta",2020,9,547
"Atlanta",2020,10,369
"Atlanta",2020,11,440
"Atlanta",2020,12,980
"Atlanta",2020,13,10806
"Atlanta",2020,14,31502
"Atlanta",2020,15,53931
"Atlanta",2020,16,41683
"Atlanta",2020,17,44984
"Atlanta",2020,18,38536
"Atlanta",2020,19,31486
"Atlanta",2020,20,23051
"Atlanta",2020,21,21464
"Atlanta",2020,22,19346
"Atlanta",2020,23,17542
"Atlanta",2020,24,23795
"Atlanta",2020,25,22665
"Atlanta",2020,26,21179
"Atlanta",2020,27,18957
"Atlanta",2020,28,24965
"Atlanta",2020,29,22055
"Atlanta",2020,30,15324
"Atlanta",2020,31,13331
"Atlanta",2020,32,8335
"Atlanta",2020,33,7769
"Atlanta",2020,34,7591
"Atlanta",2020,35,6857
"Atlanta",2020,36,6728
"Atlanta",2020,37,6366
"Atlanta",2020,38,7476
"Atlanta",2020,39,6584
"Atlanta",2020,40,6788
"Atlanta",2020,41,7926
"Atlanta",2020,42,6569
"Atlanta",2020,43,6394
"Atlanta",2020,44,5451
"Atlanta",2020,45,2443
"Atlanta",2020,46,2012
"Atlanta",2020,47,2983
"Atlanta",2020,48,1967
"Atlanta",2020,49,3384
"Atlanta",2020,50,3022
"Atlanta",2020,51,3401
"Atlanta",2020,52,2418
"Atlanta",2021,1,3324
"Atlanta",2021,2,3223
"Atlanta",2021,3,2515
"Atlanta",2021,4,2443
"Atlanta",2021,5,2907
"Atlanta",2021,6,3212
"Atlanta",2021,7,3081
"Atlanta",2021,8,3437
"Atlanta",2021,9,3023
"Atlanta",2021,10,3555
"Atlanta",2021,11,3568
"Atlanta",2021,12,5654
"Atlanta",2021,13,4839
"Atlanta",2021,14,5294
"Atlanta",2021,15,4467
"Atlanta",2021,16,3968
"Atlanta",2021,17,3508
"Atlanta",2021,18,3465
"Atlanta",2021,19,2685
"Atlanta",2021,20,2591
"Atlanta",2021,21,2599
"Atlanta",2021,22,2347
"Atlanta",2021,23,3326
"Atlanta",2021,24,3056
"Atlanta",2021,25,3064
"Atlanta",2021,26,2918
"Atlanta",2021,27,2040
"Atlanta",2021,28,1776
"Atlanta",2021,29,1689
"Atlanta",2021,30,1889
"Atlanta",2021,31,1312
"Atlanta",2021,32,1357
"Atlanta",2021,33,1186
"Atlanta",2021,34,1198
"Atlanta",2021,35,977
"Atlanta",2021,36,790
"Atlanta",2021,37,756
"Atlanta",2021,38,704
"Atlanta",2021,39,728
"Atlanta",2021,40,797
"Atlanta",2021,41,913
"Atlanta",2021,42,476
"Atlanta",2021,43,458
"Atlanta",2021,44,462
"Atlanta",2021,45,574
"Atlanta",2021,46,580
"Atlanta",2021,47,346
"Atlanta",2021,48,562
"Atlanta",2021,49,501
"Atlanta",2021,50,295
"Atlanta",2021,51,328
"Atlanta",2021,53,4011
"Atlanta",2022,1,656
"Atlanta",2022,2,633
"Atlanta",2022,3,438
"Atlanta",2022,4,572
"Atlanta",2022,5,516
"Atlanta",2022,6,810
"Atlanta",2022,7,728
"Atlanta",2022,8,712
"Atlanta",2022,9,634
"Atlanta",2022,10,586
"Atlanta",2022,11,604
"Atlanta",2022,12,592
"Atlanta",2022,13,593
"Atlanta",2022,14,557
"Atlanta",2022,15,487
"Atlanta",2022,16,612
"Atlanta",2022,17,595
"Atlanta",2022,18,400
"Atlanta",2022,19,370
"Atlanta",2022,20,426
"Atlanta",2022,21,262
"Atlanta",2022,22,454
"Atlanta",2022,23,781
"Atlanta",2022,24,703
"Atlanta",2022,25,503
"Atlanta",2022,26,869
"Atlanta",2022,27,441
"Atlanta",2022,28,715
"Atlanta",2022,29,621
"Atlanta",2022,30,631
"Atlanta",2022,31,586
"Atlanta",2022,32,757
"Atlanta",2022,33,770
"Atlanta",2022,34,660
"Atlanta",2022,35,701
"Atlanta",2022,36,477
"Atlanta",2022,37,693
"Atlanta",2022,38,599
"Atlanta",2022,39,519
"Atlanta",2022,52,694
"Austin",2019,1,1000
"Austin",2019,2,1586
"Austin",2019,3,1130
"Austin",2019,4,843
"Austin",2019,5,771
"Austin",2019,6,779
"Austin",2019,7,726
"Austin",2019,8,738
"Austin",2019,9,743
"Austin",2019,10,733
"Austin",2019,11,1212
"Austin",2019,12,757
"Austin",2019,13,770
"Austin",2019,14,878
"Austin",2019,15,703
"Austin",2019,16,614
"Austin",2019,17,617
"Austin",2019,18,736
"Austin",2019,19,689
"Austin",2019,20,746
"Austin",2019,21,849
"Austin",2019,22,1317
"Austin",2019,23,917
"Austin",2019,24,704
"Austin",2019,25,676
"Austin",2019,26,757
"Austin",2019,27,728
"Austin",2019,28,892
"Austin",2019,29,767
"Austin",2019,30,774
"Austin",2019,31,799
"Austin",2019,32,760
"Austin",2019,33,751
"Austin",2019,34,851
"Austin",2019,35,797
"Austin",2019,36,717
"Austin",2019,37,689
"Austin",2019,38,710
"Austin",2019,39,674
"Austin",2019,40,721
"Austin",2019,41,797
"Austin",2019,42,688
"Austin",2019,43,650
"Austin",2019,44,613
"Austin",2019,45,742
"Austin",2019,46,700
"Austin",2019,47,1039
"Austin",2019,48,512
"Austin",2019,49,852
"Austin",2019,50,694
"Austin",2019,51,2300
"Austin",2019,52,374
"Austin",2020,1,690
"Austin",2020,2,917
"Austin",2020,3,765
"Austin",2020,4,702
"Austin",2020,5,737
"Austin",2020,6,802
"Austin",2020,7,709
"Austin",2020,8,681
"Austin",2020,9,658
"Austin",2020,10,729
"Austin",2020,11,1371
"Austin",2020,12,20853
"Austin",2020,13,23718
"Austin",2020,14,22713
"Austin",2020,15,17993
"Austin",2020,16,14950
"Austin",2020,17,10675
"Austin",2020,18,10887
"Austin",2020,19,8200
"Austin",2020,20,6847
"Austin",2020,21,6400
"Austin",2020,22,5797
"Austin",2020,23,5035
"Austin",2020,24,4332
"Austin",2020,25,4689
"Austin",2020,26,4916
"Austin",2020,27,5948
"Austin",2020,28,5380
"Austin",2020,29,4384
"Austin",2020,30,3624
"Austin",2020,31,3060
"Austin",2020,32,2713
"Austin",2020,33,3186
"Austin",2020,34,2840
"Austin",2020,35,2919
"Austin",2020,36,3698
"Austin",2020,37,2415
"Austin",2020,38,2157
"Austin",2020,39,2255
"Austin",2020,40,2292
"Austin",2020,41,2063
"Austin",2020,42,1935
"Austin",2020,43,1747
"Austin",2020,44,1689
"Austin",2020,45,1730
"Austin",2020,46,1782
"Austin",2020,47,2110
"Austin",2020,48,1301
"Austin",2020,49,2114
"Austin",2020,50,1760
"Austin",2020,51,2019
"Austin",2020,52,1587
"Austin",2021,1,2813
"Austin",2021,2,2949
"Austin",2021,3,2800
"Austin",2021,4,2501
"Austin",2021,5,2355
"Austin",2021,6,1854
"Austin",2021,7,2409
"Austin",2021,8,3233
"Austin",2021,9,2901
"Austin",2021,10,4827
"Austin",2021,11,5957
"Austin",2021,12,5826
"Austin",2021,13,9824
"Austin",2021,14,3600
"Austin",2021,15,2989
"Austin",2021,16,1775
"Austin",2021,17,1464
"Austin",2021,18,1206
"Austin",2021,19,1300
"Austin",2021,20,1276
"Austin",2021,21,1429
"Austin",2021,22,1025
"Austin",2021,23,1029
"Austin",2021,24,1020
"Austin",2021,25,931
"Austin",2021,26,1472
"Austin",2021,27,1507
"Austin",2021,28,1862
"Austin",2021,29,1361
"Austin",2021,30,1331
"Austin",2021,31,1560
"Austin",2021,32,1151
"Austin",2021,33,1126
"Austin",2021,34,1055
"Austin",2021,35,1023
"Austin",2021,36,932
"Austin",2021,37,904
"Austin",2021,38,1068
"Austin",2021,39,1020
"Austin",2021,40,1041
"Austin",2021,41,931
"Austin",2021,42,797
"Austin",2021,43,733
"Austin",2021,44,835
"Austin",2021,45,780
"Austin",2021,46,1108
"Austin",2021,47,655
"Austin",2021,48,843
"Austin",2021,49,797
"Austin",2021,50,1333
"Austin",2021,51,570
"Austin",2021,53,2337
"Austin",2022,1,1317
"Austin",2022,2,957
"Austin",2022,3,790
"Austin",2022,4,800
"Austin",2022,5,821
"Austin",2022,6,800
"Austin",2022,7,681
"Austin",2022,8,700
"Austin",2022,9,730
"Austin",2022,10,1136
"Austin",2022,11,915
"Austin",2022,12,777
"Austin",2022,13,700
"Austin",2022,14,800
"Austin",2022,15,709
"Austin",2022,16,662
"Austin",2022,17,620
"Austin",2022,18,727
"Austin",2022,19,757
"Austin",2022,20,722
"Austin",2022,21,1233
"Austin",2022,22,940
"Austin",2022,23,828
"Austin",2022,24,854
"Austin",2022,25,854
"Austin",2022,26,921
"Austin",2022,27,852
"Austin",2022,28,914
"Austin",2022,29,815
"Austin",2022,30,796
"Austin",2022,31,996
"Austin",2022,32,862
"Austin",2022,33,825
"Austin",2022,34,816
"Austin",2022,35,965
"Austin",2022,36,779
"Austin",2022,37,803
"Austin",2022,38,804
"Austin",2022,39,733
"Austin",2022,40,985
"Austin",2022,41,835
"Austin",2022,42,796
"Austin",2022,52,633
"Bakersfield",2020,2,2967
"Bakersfield",2020,3,3701
"Bakersfield",2020,4,2602
"Bakersfield",2020,5,2480
"Bakersfield",2020,6,1835
"Bakersfield",2020,7,1973
"Bakersfield",2020,8,1589
"Bakersfield",2020,9,1893
"Bakersfield",2020,10,526
"Bakersfield",2020,11,698
"Bakersfield",2020,12,2259
"Bakersfield",2020,13,12832
"Bakersfield",2020,14,11141
"Bakersfield",2020,15,14631
"Bakersfield",2020,16,11794
"Bakersfield",2020,17,7262
"Bakersfield",2020,18,7059
"Bakersfield",2020,19,5603
"Bakersfield",2020,20,6440
"Bakersfield",2020,21,5356
"Bakersfield",2020,22,6024
"Bakersfield",2020,23,6741
"Bakersfield",2020,24,8079
"Bakersfield",2020,25,9520
"Bakersfield",2020,26,9281
"Bakersfield",2020,27,8860
"Bakersfield",2020,28,10455
"Bakersfield",2020,29,10627
"Bakersfield",2020,30,8978
"Bakersfield",2020,31,8148
"Bakersfield",2020,32,5863
"Bakersfield",2020,33,5511
"Bakersfield",2020,34,5701
"Bakersfield",2020,35,6357
"Bakersfield",2020,36,7047
"Bakersfield",2020,37,10320
"Bakersfield",2020,38,10328
"Bakersfield",2020,39,7818
"Bakersfield",2020,40,6768
"Bakersfield",2020,41,8296
"Bakersfield",2020,42,7533
"Bakersfield",2020,43,7170
"Bakersfield",2020,44,7184
"Bakersfield",2020,45,5724
"Bakersfield",2020,46,5762
"Bakersfield",2020,47,6102
"Bakersfield",2020,48,4731
"Bakersfield",2020,49,6484
"Bakersfield",2020,50,9244
"Bakersfield",2020,51,7176
"Bakersfield",2020,52,7631
"Bakersfield",2021,53,7281
"Bakersfield",2022,1,2394
"Bakersfield",2022,2,2426
"Bakersfield",2022,3,2111
"Bakersfield",2022,4,2010
"Bakersfield",2022,5,1844
"Bakersfield",2022,6,1922
"Bakersfield",2022,7,1831
"Bakersfield",2022,8,1603
"Bakersfield",2022,9,1833
"Bakersfield",2022,10,1906
"Bakersfield",2022,11,1658
"Bakersfield",2022,12,1796
"Bakersfield",2022,13,1842
"Bakersfield",2022,14,1736
"Bakersfield",2022,15,1725
"Bakersfield",2022,16,1618
"Bakersfield",2022,17,1513
"Bakersfield",2022,18,1279
"Bakersfield",2022,19,1337
"Bakersfield",2022,20,1158
"Bakersfield",2022,21,1214
"Bakersfield",2022,22,1208
"Bakersfield",2022,23,1801
"Bakersfield",2022,24,1754
"Bakersfield",2022,25,1654
"Bakersfield",2022,26,1766
"Bakersfield",2022,27,1133
"Bakersfield",2022,28,1208
"Bakersfield",2022,29,1121
"Bakersfield",2022,30,1110
"Bakersfield",2022,31,1187
"Baltimore",2020,10,378
"Baltimore",2020,11,746
"Baltimore",2020,12,5392
"Baltimore",2020,13,8685
"Baltimore",2020,14,10691
"Baltimore",2020,15,6150
"Baltimore",2020,16,4894
"Baltimore",2020,17,3778
"Baltimore",2020,18,9447
"Baltimore",2020,19,6538
"Baltimore",2020,20,5675
"Baltimore",2020,21,5745
"Baltimore",2020,22,5345
"Baltimore",2020,23,7240
"Baltimore",2020,24,9424
"Baltimore",2020,25,6094
"Baltimore",2020,26,5677
"Baltimore",2020,27,6243
"Baltimore",2020,28,7342
"Baltimore",2020,29,6068
"Baltimore",2020,30,3722
"Baltimore",2020,31,2729
"Baltimore",2020,32,2074
"Baltimore",2020,33,1848
"Baltimore",2020,34,1488
"Baltimore",2020,35,1368
"Baltimore",2020,36,1330
"Baltimore",2020,37,1744
"Baltimore",2020,38,615
"Baltimore",2020,39,2034
"Baltimore",2020,40,3462
"Baltimore",2020,41,2984
"Baltimore",2020,42,2375
"Baltimore",2020,43,2076
"Baltimore",2020,44,1912
"Baltimore",2020,45,1792
"Baltimore",2020,46,2137
"Baltimore",2020,47,1993
"Baltimore",2020,48,1446
"Baltimore",2020,49,1585
"Baltimore",2020,50,1937
"Baltimore",2020,51,2363
"Baltimore",2020,52,3466
"Baltimore",2021,1,3398
"Baltimore",2021,2,4030
"Baltimore",2021,3,3730
"Baltimore",2021,4,3821
"Baltimore",2021,5,2131
"Baltimore",2021,6,2531
"Baltimore",2021,7,1260
"Baltimore",2021,8,1253
"Baltimore",2021,9,1696
"Baltimore",2021,10,1861
"Baltimore",2021,11,2275
"Baltimore",2021,12,1279
"Baltimore",2021,13,152
"Baltimore",2021,14,154
"Baltimore",2021,15,1048
"Baltimore",2021,16,1231
"Baltimore",2021,17,975
"Baltimore",2021,18,926
"Baltimore",2021,19,974
"Baltimore",2021,20,1051
"Baltimore",2021,21,1625
"Baltimore",2021,22,1625
"Baltimore",2021,23,1446
"Baltimore",2021,24,1694
"Baltimore",2021,25,1694
"Baltimore",2021,26,1579
"Baltimore",2021,27,1285
"Baltimore",2021,28,1295
"Baltimore",2021,29,1027
"Baltimore",2021,30,811
"Baltimore",2021,31,1242
"Baltimore",2021,32,1331
"Baltimore",2021,33,1872
"Baltimore",2021,34,1013
"Baltimore",2021,35,1016
"Baltimore",2021,36,1111
"Baltimore",2021,37,1308
"Baltimore",2021,38,530
"Baltimore",2021,39,365
"Baltimore",2021,40,590
"Baltimore",2021,41,423
"Baltimore",2021,42,345
"Baltimore",2021,43,383
"Baltimore",2021,44,316
"Baltimore",2021,45,253
"Baltimore",2021,46,240
"Baltimore",2021,47,249
"Baltimore",2021,48,337
"Baltimore",2021,49,234
"Baltimore",2021,50,247
"Baltimore",2021,51,325
"Baltimore",2021,53,1055
"Baltimore",2022,26,324
"Baltimore",2022,27,354
"Baltimore",2022,28,339
"Baltimore",2022,29,326
"Baltimore",2022,30,301
"Baltimore",2022,31,197
"Baltimore",2022,32,254
"Baltimore",2022,33,252
"Baltimore",2022,34,239
"Baltimore",2022,35,262
"Baltimore",2022,36,202
"Baltimore",2022,37,199
"Baltimore",2022,38,205
"Baltimore",2022,39,231
"Baltimore",2022,40,261
"Baltimore",2022,41,226
"Beaumont",2019,1,304
"Beaumont",2019,2,424
"Beaumont",2019,3,391
"Beaumont",2019,4,397
"Beaumont",2019,5,446
"Beaumont",2019,6,360
"Beaumont",2019,7,317
"Beaumont",2019,8,306
"Beaumont",2019,9,401
"Beaumont",2019,10,356
"Beaumont",2019,11,297
"Beaumont",2019,12,320
"Beaumont",2019,13,333
"Beaumont",2019,14,392
"Beaumont",2019,15,426
"Beaumont",2019,16,313
"Beaumont",2019,17,352
"Beaumont",2019,18,355
"Beaumont",2019,19,366
"Beaumont",2019,20,483
"Beaumont",2019,21,469
"Beaumont",2019,22,447
"Beaumont",2019,23,560
"Beaumont",2019,24,441
"Beaumont",2019,25,451
"Beaumont",2019,26,419
"Beaumont",2019,27,361
"Beaumont",2019,28,533
"Beaumont",2019,29,391
"Beaumont",2019,30,351
"Beaumont",2019,31,377
"Beaumont",2019,32,332
"Beaumont",2019,33,307
"Beaumont",2019,34,339
"Beaumont",2019,35,323
"Beaumont",2019,36,270
"Beaumont",2019,37,299
"Beaumont",2019,38,318
"Beaumont",2019,39,398
"Beaumont",2019,40,325
"Beaumont",2019,41,294
"Beaumont",2019,42,313
"Beaumont",2019,43,357
"Beaumont",2019,44,361
"Beaumont",2019,45,366
"Beaumont",2019,46,422
"Beaumont",2019,47,504
"Beaumont",2019,48,331
"Beaumont",2019,49,491
"Beaumont",2019,50,506
"Beaumont",2019,51,494
"Beaumont",2019,52,243
"Beaumont",2020,1,313
"Beaumont",2020,2,457
"Beaumont",2020,3,433
"Beaumont",2020,4,348
"Beaumont",2020,5,339
"Beaumont",2020,6,322
"Beaumont",2020,7,326
"Beaumont",2020,8,426
"Beaumont",2020,9,402
"Beaumont",2020,10,518
"Beaumont",2020,11,508
"Beaumont",2020,12,1949
"Beaumont",2020,13,4043
"Beaumont",2020,14,4517
"Beaumont",2020,15,3129
"Beaumont",2020,16,3052
"Beaumont",2020,17,2271
"Beaumont",2020,18,2351
"Beaumont",2020,19,2009
"Beaumont",2020,20,1751
"Beaumont",2020,21,1671
"Beaumont",2020,22,1485
"Beaumont",2020,23,1430
